,Salta,Asuncion,Antofagasta,Sao Paulo,Curitiba,Porto Alegre,Cordoba,Rosario,Buenos Aires,Montevideo,Valparaiso,Santiago,Concepcion,Mar del Plata
Salta,0,781,525,1431,1625,1514,747,984,1253,1431,1099,1089,1525,1647
Asuncion,781,0,1303,1081,844,827,935,933,1013,1081,1607,1552,1946,1418
Antofagasta,525,1303,0,1859,2146,2029,1062,1353,1658,1859,1052,1090,1489,2012
Sao Paulo,1431,1081,1859,0,1246,711,837,536,221,0,1438,1341,1533,367
Curitiba,1625,844,2146,1246,0,550,1602,1453,1333,1246,2325,2251,2586,1603
Porto Alegre,1514,827,2029,711,550,0,1245,1026,834,711,1959,1873,2155,1059
Cordoba,747,935,1062,837,1602,1245,0,303,621,837,725,650,1015,950
Rosario,984,933,1353,536,1453,1026,303,0,317,536,945,854,1137,666
Buenos Aires,1253,1013,1658,221,1333,834,621,317,0,221,1223,1127,1343,417
Montevideo,1431,1081,1859,0,1246,711,837,536,221,0,1438,1341,1533,367
Valparaiso,1099,1607,1052,1438,2325,1959,725,945,1223,1438,0,100,442,1389
Santiago,1089,1552,1090,1341,2251,1873,650,854,1127,1341,100,0,436,1288
Concepcion,1525,1946,1489,1533,2586,2155,1015,1137,1343,1533,442,436,0,1375
Mar del Plata,1647,1418,2012,367,1603,1059,950,666,417,367,1389,1288,1375,0
