"","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","i38","i39","i40","i41","i42","i43","i44","i45","i46","i47","i48","i49","i50","i51","i52","i53","i54","i55","i56","i57","i58","i59","i60","i61","i62","i63","i64","i65","i66","i67","i68","i69","i70","i71","i72","i73","i74","i75","i76","i77","i78","i79","i80","i81","i82","i83","i84","i85","i86","i87","i88","i89","i90","i91","i92","i93","i94","i95","i96","i97","i98","i99","i100"
"u1",6,5,NA,NA,NA,5,NA,NA,6,NA,5,5,4,6,NA,4,NA,NA,6,NA,NA,7,5,NA,NA,6,NA,7,6,NA,NA,NA,NA,NA,NA,NA,4,5,6,5,6,5,6,4,NA,8,NA,NA,5,6,5,NA,4,4,NA,NA,5,NA,5,NA,NA,NA,NA,5,NA,NA,NA,6,6,NA,NA,5,4,4,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,5,NA,NA,6,5,NA,6,7
"u2",NA,NA,8,NA,4,NA,NA,6,6,5,5,2,4,NA,6,5,NA,NA,NA,NA,NA,6,5,NA,NA,4,NA,5,NA,5,6,NA,5,NA,NA,4,5,4,6,NA,NA,7,NA,NA,NA,NA,6,7,4,4,NA,NA,7,4,NA,NA,NA,4,NA,NA,NA,4,7,NA,6,NA,5,NA,NA,6,8,5,NA,5,NA,4,5,6,NA,6,NA,4,8,NA,NA,NA,4,NA,NA,5,4,NA,NA,NA,NA,6,4,NA,NA,NA
"u3",6,6,NA,5,5,NA,NA,NA,6,6,6,6,5,NA,NA,4,5,NA,5,NA,NA,NA,5,NA,6,NA,NA,5,NA,NA,4,NA,NA,NA,NA,7,NA,NA,7,5,4,5,NA,NA,NA,NA,NA,NA,5,6,7,NA,NA,4,NA,4,6,5,NA,6,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,4,4,NA,4,NA,NA,NA,5,5,NA,NA,NA,6,5,6,6,NA,7,NA,4,5,4,NA,3,9
"u4",NA,NA,NA,NA,NA,7,NA,NA,5,NA,5,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,5,NA,4,6,6,6,NA,NA,4,NA,5,7,4,5,NA,NA,6,NA,NA,NA,3,NA,NA,5,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,5,NA,5,NA,4,NA,5,NA,6,NA,5,NA,NA,6,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,7
"u5",NA,NA,NA,6,NA,6,NA,6,6,NA,NA,NA,NA,NA,6,NA,5,NA,NA,4,NA,NA,4,5,6,4,8,6,NA,6,6,4,6,NA,NA,NA,NA,5,5,NA,NA,NA,7,NA,NA,NA,5,7,NA,NA,8,7,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,4,NA,NA,6,4,5,NA,NA,NA,NA,NA,NA,5,5,5,NA,NA,6,5,5,5,5,6,NA,NA,4,5,NA,5,NA,6,4,NA,NA,7
"u6",8,6,NA,6,NA,6,7,NA,NA,NA,NA,3,NA,6,7,NA,6,NA,6,NA,NA,7,3,NA,NA,NA,7,NA,NA,5,NA,NA,NA,5,7,5,NA,NA,NA,5,NA,NA,6,NA,NA,7,NA,NA,6,4,NA,NA,5,NA,NA,NA,7,NA,5,NA,5,5,NA,4,NA,5,NA,6,NA,4,NA,5,NA,4,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,6,6,5,NA,4,NA,NA,6,3,NA,5,6,6,7
"u7",NA,5,NA,NA,NA,NA,5,7,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,6,6,3,NA,5,5,NA,5,NA,NA,5,NA,6,NA,7,NA,5,5,5,NA,3,4,6,3,6,NA,5,6,4,4,NA,6,NA,5,NA,NA,5,7,4,NA,NA,NA,8,5,NA,NA,5,5,NA,NA,6,6,NA,NA,6,NA,NA,5,5,NA,NA,5,NA,3,NA,NA,NA,NA,4,6,4,5,7,5,NA,NA,6,7,NA,NA
"u8",NA,NA,NA,NA,7,NA,6,6,NA,NA,NA,5,6,5,NA,4,7,5,5,NA,NA,6,5,5,5,NA,NA,5,NA,5,NA,NA,NA,4,6,5,5,NA,6,4,4,5,7,NA,4,NA,NA,NA,6,NA,6,NA,NA,NA,5,4,NA,5,NA,5,6,4,NA,NA,6,4,NA,NA,7,4,NA,NA,3,5,NA,4,5,7,NA,NA,6,6,NA,5,NA,NA,5,NA,6,5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"u9",NA,NA,4,NA,5,NA,NA,5,NA,6,NA,4,6,5,6,NA,4,5,6,NA,4,NA,5,6,NA,NA,8,5,7,7,NA,6,NA,6,NA,4,NA,4,7,5,NA,NA,NA,NA,NA,6,NA,7,NA,4,5,NA,5,6,5,NA,6,NA,NA,5,NA,NA,6,6,NA,4,5,5,7,NA,6,NA,4,5,5,3,NA,NA,NA,NA,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,7,6,8
"u10",6,NA,8,NA,NA,NA,NA,5,NA,6,NA,NA,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,4,5,5,4,NA,7,4,NA,NA,NA,6,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,3,7,NA,3,NA,NA,NA,NA,6,NA,NA,7,6,NA,6,NA,NA,5,NA,NA,6,5,4,6,5,4,5,6,5,NA,4,7,5,NA
